makeid,modelid,fuelid,price,year,engine,power
1,265,3,6900,1998,2.3,116
1,265,2,10700,2002,3.2,191
1,465,2,4500,2011,3.7,0
1,556,2,12000,2002,2.0,119
1,556,2,16000,2004,2.0,149
1,556,2,10000,2003,2.0,147
1,652,2,27600,2005,2.4,172
1,419,3,7900,1998,3.5,165
1,419,2,3200,2001,0.3,0
2,177,5,11500,2005,0.4,4
2,178,2,1000,1997,2.0,0
2,263,5,1600,1999,0.5,9
2,287,5,12100,2008,0.6,15
2,287,2,18295,2009,0.5,15
2,586,2,10500,2006,0.5,15
2,419,2,13000,2006,0.6,40
2,419,5,6000,2001,0.5,10
2,419,2,11500,2008,0.5,0
3,17,3,4500,2000,1.4,76
3,17,2,1350,1995,1.6,76
3,17,3,3150,2001,1.7,0
3,17,2,1450,1999,2.0,114
3,17,5,2500,1999,1.9,66
3,17,5,2500,2000,1.9,77
3,17,5,2000,2000,1.9,77
3,17,2,3200,1999,1.4,76
3,17,5,600,1998,1.9,66
3,17,3,2500,1995,2.0,110
3,17,5,1150,1999,1.9,77
3,17,2,2200,1999,1.6,88
3,17,2,1600,1995,1.6,0
3,17,2,1500,1995,1.7,0
3,17,2,1500,1997,2.0,110
3,17,2,4400,1998,1.4,76
3,18,2,1500,1998,1.4,76
3,18,2,1700,1997,1.7,103
3,18,2,1000,1999,1.4,76
3,18,5,1600,1998,1.9,66
3,18,2,1000,1997,1.4,76
3,18,2,2800,1999,1.6,88
3,18,2,2500,1996,1.6,76
3,18,5,2100,1997,1.9,66
3,18,2,1600,1998,1.4,76
3,18,5,2100,1999,1.9,66
3,18,3,1500,1995,1.6,76
3,18,3,1600,1996,1.6,76
3,18,3,1200,1995,1.4,66
3,18,5,2000,1995,1.9,66
3,18,5,3300,1997,1.9,77
3,18,3,1500,2000,1.4,76
3,19,2,8000,2004,2.0,110
3,19,2,3700,2003,2.0,0
3,19,5,4500,2001,1.9,85
3,19,2,6200,2002,1.6,77
3,19,2,10000,2006,1.6,88
3,19,5,6200,2001,1.9,85
3,19,2,6500,2002,1.6,77
3,19,2,2000,2006,1.6,0
3,19,2,6995,2001,2.0,110
3,19,5,16500,2006,1.9,110
3,19,5,13120,2005,1.9,110
3,19,2,5000,2001,2.0,110
3,19,5,7300,2001,1.9,85
3,19,5,9495,2003,1.9,103
3,19,2,7000,2002,2.0,110
3,19,5,5800,2002,1.9,85
3,19,5,6500,2001,1.9,0
3,19,5,6500,2003,1.9,74
3,19,5,5100,2002,1.9,85
3,19,2,5900,2001,1.6,88
3,19,5,8900,2004,1.9,103
3,19,5,8000,2003,1.9,103
3,19,2,6600,2003,1.6,77
3,20,5,1600,1994,2.0,0
3,21,5,6300,2000,2.4,125
3,21,5,3200,1999,2.4,100
3,21,2,4000,1998,2.0,114
3,21,5,4500,2000,2.4,100
3,21,2,850,1998,1.6,88
3,21,5,2800,2001,2.4,100
3,21,5,3900,1998,1.9,77
3,21,5,8450,2004,1.9,103
3,21,5,4500,1999,1.9,77
3,21,5,3600,1999,2.4,100
3,21,2,3100,2000,1.8,0
3,21,5,4550,2000,1.9,81
3,21,3,3150,1999,1.6,0
3,21,5,2900,1998,1.9,77
3,21,5,2800,2000,2.4,100
3,21,2,3100,2000,2.0,114
3,21,5,5000,2000,1.9,77
3,21,2,2760,2001,1.8,0
3,21,5,3750,1999,2.4,0
3,21,2,3600,1998,1.8,106
3,21,2,2000,1997,2.5,149
3,21,5,4000,2000,1.9,77
3,21,3,3000,1997,1.9,114
3,21,2,4835,2000,2.5,141
3,21,5,3500,1999,1.9,77
3,21,2,2500,1999,2.0,114
3,21,3,5180,2001,1.7,103
3,21,5,5400,2002,1.9,85
3,21,2,5000,2000,2.0,114
3,21,2,2000,1999,2.0,114
3,21,5,4000,2000,1.9,77
3,21,2,3970,2000,2.0,0
3,21,5,3900,2003,2.4,0
3,21,5,3000,2001,1.9,0
3,21,3,4300,1998,2.0,114
3,21,5,9000,2003,2.4,110
3,21,5,8000,2003,1.9,103
3,21,2,2700,1999,1.7,106
3,21,5,2100,1998,1.9,0
3,21,5,1200,1998,1.9,77
3,21,5,5800,2002,2.4,125
3,21,5,8900,2004,1.9,103
3,21,5,3400,2001,2.4,103
3,21,2,1700,2000,2.0,114
3,21,5,1900,1999,1.9,0
3,21,5,4500,2001,1.9,81
3,21,5,6400,2002,1.9,85
3,21,2,4200,1999,2.0,114
3,21,3,4300,1999,2.0,114
3,21,5,4900,1999,2.4,100
3,21,5,3500,2000,2.4,0
3,21,5,6250,2001,1.9,85
3,21,2,2200,1998,1.8,106
3,21,3,3800,1998,2.5,140
3,21,5,5300,2000,2.4,103
3,21,2,2700,2001,1.6,78
3,21,5,3400,2000,2.4,100
3,21,3,2100,1998,1.8,0
3,21,5,3600,2000,1.9,77
3,21,5,6200,2002,2.4,103
3,21,5,4000,1998,1.9,77
3,21,5,6000,2000,2.4,100
3,21,2,2200,1997,1.8,106
3,21,5,1800,1998,2.4,100
3,21,5,3800,2000,1.9,77
3,21,5,3500,1997,2.4,100
3,21,3,2000,1999,1.6,88
3,21,5,3900,1999,2.4,100
3,21,5,4300,1999,1.9,77
3,21,2,2500,2000,2.0,114
3,21,3,3600,1998,1.8,106
3,21,2,2500,1998,2.0,114
3,21,5,4800,2002,1.9,85
3,21,3,5000,1998,2.0,114
3,21,2,7595,2002,2.5,141
3,21,5,5000,2000,2.4,100
3,21,5,5200,2001,2.4,103
3,21,2,3300,2000,2.0,0
3,21,2,1300,2000,2.0,0
3,21,2,7500,2003,2.0,121
3,21,5,2800,1998,2.4,100
3,21,5,3000,1999,2.4,103
3,21,5,3200,2000,2.4,100
3,21,5,4250,2000,1.9,0
3,21,2,2950,1997,1.6,88
3,21,5,5800,2002,1.9,85
3,21,5,10000,2004,1.9,103
3,21,2,8000,2004,2.0,121
3,21,5,4900,2000,1.9,77
3,21,2,2800,1997,2.5,140
3,21,2,2500,1999,2.0,114
3,21,5,3000,2001,1.9,81
3,21,5,3850,2002,1.9,85
